Internal ID,Product Name,Category,Retail Price USD,Compare At Price USD,Supplier Cost USD,Gross Margin %,SKU,Whop Product ID,Whop Checkout URL,Image URL,Stock
prod_apex_audio,Sphere Spatial Studio Active Noise-Cancelling Earbuds,Audio & Headphones,129.00,174.15,38.00,70.5%,NYX-AUD-SPH01,prod_dLUcCyZTbxBEO,https://whop.com/checkout/plan_sUkmest9O0TTy,https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=800&auto=format&fit=crop&q=80,33
prod_cj_0001,7-inch Car Monitor Desktop Reversing Monitor Display,Automotive & Travel,31.30,42.26,9.78,68.8%,CJ-240924035057,prod_qPuIz1UaauE2J,https://whop.com/checkout/plan_1AwzDL1rF3GJn,"https://oss-cf.cjdropshipping.com/product/2024/09/25/06/63a50c1b-7c38-4ce8-9660-d2b9c920b167_fine.jpeg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0002,Car Display AP-1 Car HUD Head-up Display OBD GPS Driving Computer Code,Automotive & Travel,65.40,88.29,22.89,65.0%,CJ-140968771564,prod_jkH2C4KWGmFGa,https://whop.com/checkout/plan_b0YOsPM2nAfAE,"https://cf.cjdropshipping.com/5f125b7d-4eb6-421f-89ff-d6e68835be10.png?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0003,Aluminum Alloy Computer Monitor Increase Rack Desktop Storage Bracket Notebook Desktop Computer,Workspace & Desk Accessories,81.86,110.51,28.65,65.0%,CJ-137383360674,prod_Qs7W2S7pfLeuj,https://whop.com/checkout/plan_VjvnxE4nhVd7h,"https://cf.cjdropshipping.com/1616382186663.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0005,H198 HD Six-light Infrared Night Vision Recorder Classic Popular Aircraft Nose Traffic,Automotive & Travel,16.64,22.46,5.20,68.8%,CJ-162820687768,prod_cJK69j34LM9eA,https://whop.com/checkout/plan_tvYHYufVaZwJV,"https://cc-west-usa.oss-accelerate.aliyuncs.com/5ec66f93-8577-4a97-9e2f-fe8478f6ee60.png?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0006,LED sensor light bar,Lighting & Ambience,12.72,17.17,3.18,75.0%,CJ-10A2E8CF-227,prod_GZiqeZ45EH4fr,https://whop.com/checkout/plan_DkLBtYDmFmVzG,"https://cf.cjdropshipping.com/15944832/1006442521780.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0007,Computer Video Light Mobile Phone Selfie Fill Light,Lighting & Ambience,4.16,5.62,1.04,75.0%,CJ-240615114414,prod_Wc8n2Aid39Wy0,https://whop.com/checkout/plan_lfyFmNqFJxRQz,"https://cf.cjdropshipping.com/quick/product/9b97b98f-5b0e-42a5-9814-5d51335c4486.jpg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0008,Party Computer Game Desktop Atmosphere Light,Lighting & Ambience,19.80,26.73,4.95,75.0%,CJ-240611063715,prod_6rFQ9Aqtfdfcz,https://whop.com/checkout/plan_pRJBVxrJLyZ7K,"https://oss-cf.cjdropshipping.com/product/2024/06/11/06/fe66318f-54ef-4ab9-9137-524bbb825f22_trans.jpeg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0009,Led Rechargeable Bar Table Lamp Quiet Bar Service Script Light,Lighting & Ambience,11.28,15.23,2.82,75.0%,CJ-250828014349,prod_de4cDaTa4oSNR,https://whop.com/checkout/plan_nfpsWSCSY7ac3,"https://oss-cf.cjdropshipping.com/product/2025/08/28/01/372ac4f5-04bb-4822-85ef-93e93d193f55_trans.jpeg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
prod_cj_0010,Modeling Neon Light Luminous Character Billboard Creative Light Bar,Lighting & Ambience,19.44,26.24,4.86,75.0%,CJ-250111015549,prod_1DgEHTsqzkiMk,https://whop.com/checkout/plan_THnA8o8pDqSRZ,"https://oss-cf.cjdropshipping.com/product/2025/01/11/01/c7d2354e-c34e-4e21-b1bc-a9872d21c268_trans.jpeg?x-oss-process=image/format,webp,image/resize,m_fill,m_pad,w_250,h_250",85
